Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent
2012,Citywide,New York City, New York City,1,Adults Reporting Mold in the Home,"598,000",9.5,,
2012,Borough,Bronx, Bronx,1,Adults Reporting Mold in the Home,"128,000",12.9,,
2012,Borough,Brooklyn, Brooklyn,2,Adults Reporting Mold in the Home,"197,000",10.5,,
2012,Borough,Manhattan, Manhattan,3,Adults Reporting Mold in the Home,"103,000",8,,
2012,Borough,Queens, Queens,4,Adults Reporting Mold in the Home,"151,000",8.6,,
2012,Borough,Staten Island, Staten Island,5,Adults Reporting Mold in the Home,"19,000",5.5,,
2012,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Adults Reporting Mold in the Home,,,**Estimate is supressed due to insufficient data.,**Estimate is supressed due to insufficient data.
2012,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Adults Reporting Mold in the Home,"22,000",9.4,,
2012,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Adults Reporting Mold in the Home,"20,000",13,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2012,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Adults Reporting Mold in the Home,"23,000",10.4,,
2012,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Adults Reporting Mold in the Home,"12,000",8.2,,
2012,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Adults Reporting Mold in the Home,"10,000",9.1,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2012,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Adults Reporting Mold in the Home,"7,000",3.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
